alarm_tag,active_samples,active_rate_pct,category,decision,reason,fault_class,fault_class_name
engine/alarm_220v_power_failure,0,0.0,never_triggered,REMOVE,never fired in 24h,F11,Communication / Sensor Fault
engine/alarm_24v_power_failure,0,0.0,never_triggered,REMOVE,never fired in 24h,F11,Communication / Sensor Fault
engine/alarm_ac_auxiliary_heat_mode,6403,99.984,always_on,REMOVE,"active 100.0% of time (constant offset, mode/status)",F00,Other / General Fault
engine/alarm_ac_cooling_mode,6403,99.984,always_on,REMOVE,"active 100.0% of time (constant offset, mode/status)",F03,Cooling System Fault
engine/alarm_ac_heating_mode,6403,99.984,always_on,REMOVE,"active 100.0% of time (constant offset, mode/status)",F00,Other / General Fault
engine/alarm_ac_software_on_off,6403,99.984,always_on,REMOVE,"active 100.0% of time (constant offset, mode/status)",F00,Other / General Fault
engine/alarm_air_compressor_overload,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_air_compressor_running,279,4.357,mode_status,REMOVE,"operational state indicator ('air_compressor_running'), not a fault signal",F00,Other / General Fault
engine/alarm_anti_roll_fins_fault,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_anti_roll_fins_running,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_automatic_phone_fault,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_battery_fault,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_bottle_outlet_pipe_low_pressure,3299,51.515,fault_relevant,KEEP,"fault alarm, fires 3299 samples (51.5%), class F00",F00,Other / General Fault
engine/alarm_bow_peak_tank_high_level,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_cathodic_protection_system_fault,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_circulation_pump_flow_switch,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_circulation_pump_overload,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_co2_leakage,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_co2_power_failure,0,0.0,never_triggered,REMOVE,never fired in 24h,F11,Communication / Sensor Fault
engine/alarm_co2_pre_release,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_co2_release,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_compressor_1_high_pressure_alarm,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_compressor_1_low_pressure_alarm,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_compressor_1_overload,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_compressor_2_high_pressure_alarm,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_compressor_2_low_pressure_alarm,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_compressor_2_overload,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_cylinder_exhaust_temperature_high,0,0.0,never_triggered,REMOVE,never fired in 24h,F10,Cylinder Exhaust Temp High
engine/alarm_cylinder_exhaust_temperature_high_2,135,2.108,fault_relevant,KEEP,"fault alarm, fires 135 samples (2.1%), class F10",F10,Cylinder Exhaust Temp High
engine/alarm_cylinder_exhaust_temperature_too_high,0,0.0,never_triggered,REMOVE,never fired in 24h,F10,Cylinder Exhaust Temp High
engine/alarm_cylinder_exhaust_temperature_too_high_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F10,Cylinder Exhaust Temp High
engine/alarm_dedicated_ballast_pump_starter_fault,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_embedded_host_telegraph_power_failure,2110,32.948,fault_relevant,KEEP,"fault alarm, fires 2110 samples (32.9%), class F11",F11,Communication / Sensor Fault
engine/alarm_emergency_charge_discharge_board_battery_voltage_low,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_emergency_charge_discharge_board_discharge,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_emergency_charge_discharge_board_insulation_low,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_empty_tank_c_high_level,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_engine_room_a_high_level,792,12.367,fault_relevant,KEEP,"fault alarm, fires 792 samples (12.4%), class F00",F00,Other / General Fault
engine/alarm_fire_alarm_controller_fault,0,0.0,never_triggered,REMOVE,never fired in 24h,F12,Fire Alarm
engine/alarm_fire_alarm_controller_fire,668,10.431,fault_relevant,KEEP,"fault alarm, fires 668 samples (10.4%), class F12",F12,Fire Alarm
engine/alarm_freshwater_combination_pressure_tank_fault_1,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_freshwater_heater_fault_1,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_freshwater_heater_fault_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_freshwater_heater_running_1,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_freshwater_heater_running_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_freshwater_pump_running_1,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_freshwater_pump_running_2,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
engine/alarm_freshwater_tank_low_level,0,0.0,never_triggered,REMOVE,never fired in 24h,F00,Other / General Fault
