model,gt_variant,epoch,train_loss
CNN-TCN-Attention,original,1,0.28766
CNN-TCN-Attention,original,2,0.18865
CNN-TCN-Attention,original,3,0.16602
CNN-TCN-Attention,original,4,0.16549
CNN-TCN-Attention,original,5,0.17198
CNN-TCN-Attention,original,6,0.18591
CNN-TCN-Attention,original,7,0.15129
CNN-TCN-Attention,original,8,0.16041
CNN-TCN-Attention,original,9,0.1612
CNN-TCN-Attention,original,10,0.16398
CNN-TCN-Attention,original,11,0.16126
CNN-TCN-Attention,original,12,0.14459
CNN-TCN-Attention,original,13,0.13798
CNN-TCN-Attention,original,14,0.15108
CNN-TCN-Attention,original,15,0.14454
CNN-TCN-Attention,original,16,0.1544
CNN-TCN-Attention,original,17,0.14336
CNN-TCN-Attention,original,18,0.15289
CNN-TCN-Attention,original,19,0.13871
CNN-TCN-Attention,original,20,0.12953
CNN-TCN-Attention,original,21,0.13146
CNN-TCN-Attention,original,22,0.15215
CNN-TCN-Attention,original,23,0.14294
CNN-TCN-Attention,original,24,0.1322
CNN-TCN-Attention,original,25,0.12673
MSCNN-LSTMNet,original,1,0.32049
MSCNN-LSTMNet,original,2,0.18916
MSCNN-LSTMNet,original,3,0.16843
MSCNN-LSTMNet,original,4,0.16275
MSCNN-LSTMNet,original,5,0.16134
MSCNN-LSTMNet,original,6,0.17871
MSCNN-LSTMNet,original,7,0.16591
MSCNN-LSTMNet,original,8,0.16112
MSCNN-LSTMNet,original,9,0.15594
MSCNN-LSTMNet,original,10,0.1436
MSCNN-LSTMNet,original,11,0.16093
MSCNN-LSTMNet,original,12,0.1477
MSCNN-LSTMNet,original,13,0.15019
MSCNN-LSTMNet,original,14,0.14653
MSCNN-LSTMNet,original,15,0.14985
MSCNN-LSTMNet,original,16,0.14855
MSCNN-LSTMNet,original,17,0.157
MSCNN-LSTMNet,original,18,0.14007
MSCNN-LSTMNet,original,19,0.14657
MSCNN-LSTMNet,original,20,0.14669
MSCNN-LSTMNet,original,21,0.13763
MSCNN-LSTMNet,original,22,0.13916
MSCNN-LSTMNet,original,23,0.13392
MSCNN-LSTMNet,original,24,0.13108
MSCNN-LSTMNet,original,25,0.12661
CNN-TCN-Attention,filtered,1,0.47944
CNN-TCN-Attention,filtered,2,0.45566
CNN-TCN-Attention,filtered,3,0.431
CNN-TCN-Attention,filtered,4,0.41945
CNN-TCN-Attention,filtered,5,0.40628
CNN-TCN-Attention,filtered,6,0.43462
CNN-TCN-Attention,filtered,7,0.40455
CNN-TCN-Attention,filtered,8,0.4109
CNN-TCN-Attention,filtered,9,0.41071
CNN-TCN-Attention,filtered,10,0.41466
CNN-TCN-Attention,filtered,11,0.40581
CNN-TCN-Attention,filtered,12,0.41925
CNN-TCN-Attention,filtered,13,0.40154
CNN-TCN-Attention,filtered,14,0.455
CNN-TCN-Attention,filtered,15,0.40273
CNN-TCN-Attention,filtered,16,0.40822
CNN-TCN-Attention,filtered,17,0.40369
CNN-TCN-Attention,filtered,18,0.39693
CNN-TCN-Attention,filtered,19,0.39689
CNN-TCN-Attention,filtered,20,0.39194
CNN-TCN-Attention,filtered,21,0.39239
CNN-TCN-Attention,filtered,22,0.38959
CNN-TCN-Attention,filtered,23,0.39654
CNN-TCN-Attention,filtered,24,0.38686
CNN-TCN-Attention,filtered,25,0.3848
MSCNN-LSTMNet,filtered,1,0.49671
MSCNN-LSTMNet,filtered,2,0.45417
MSCNN-LSTMNet,filtered,3,0.44434
MSCNN-LSTMNet,filtered,4,0.42576
MSCNN-LSTMNet,filtered,5,0.42325
MSCNN-LSTMNet,filtered,6,0.40715
MSCNN-LSTMNet,filtered,7,0.40394
MSCNN-LSTMNet,filtered,8,0.39826
MSCNN-LSTMNet,filtered,9,0.39836
MSCNN-LSTMNet,filtered,10,0.40557
MSCNN-LSTMNet,filtered,11,0.40313
MSCNN-LSTMNet,filtered,12,0.38782
MSCNN-LSTMNet,filtered,13,0.39279
MSCNN-LSTMNet,filtered,14,0.3977
MSCNN-LSTMNet,filtered,15,0.39055
MSCNN-LSTMNet,filtered,16,0.3893
MSCNN-LSTMNet,filtered,17,0.38413
MSCNN-LSTMNet,filtered,18,0.3867
MSCNN-LSTMNet,filtered,19,0.38253
MSCNN-LSTMNet,filtered,20,0.38318
MSCNN-LSTMNet,filtered,21,0.38623
MSCNN-LSTMNet,filtered,22,0.38615
MSCNN-LSTMNet,filtered,23,0.3869
MSCNN-LSTMNet,filtered,24,0.38153
MSCNN-LSTMNet,filtered,25,0.38488
