iteration,timestamp,time_iso,sample_name,fault_class,agent,skill_id,skill_name,severity,rcf_score,detected,correct
1,1765814664.6674626,2025-12-15 16:04:24,SHIP500-B00-T00000,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.455913,False,1
1,1765814664.6674626,2025-12-15 16:04:24,SHIP500-B00-T00000,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.455913,False,1
1,1765814664.6674626,2025-12-15 16:04:24,SHIP500-B00-T00000,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.455913,False,1
1,1765814676.9318302,2025-12-15 16:04:36,SHIP500-B00-T00001,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.454556,False,0
1,1765814689.2116537,2025-12-15 16:04:49,SHIP500-B00-T00002,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.457001,False,1
1,1765814689.2116537,2025-12-15 16:04:49,SHIP500-B00-T00002,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.457001,False,1
1,1765814689.2116537,2025-12-15 16:04:49,SHIP500-B00-T00002,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.457001,False,1
1,1765814701.4614964,2025-12-15 16:05:01,SHIP500-B00-T00003,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.455369,False,0
1,1765814713.6704717,2025-12-15 16:05:13,SHIP500-B00-T00004,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.463584,False,1
1,1765814713.6704717,2025-12-15 16:05:13,SHIP500-B00-T00004,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.463584,False,1
1,1765814713.6704717,2025-12-15 16:05:13,SHIP500-B00-T00004,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.463584,False,1
1,1765814725.8787827,2025-12-15 16:05:25,SHIP500-B00-T00005,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.464967,False,1
1,1765814725.8787827,2025-12-15 16:05:25,SHIP500-B00-T00005,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.464967,False,1
1,1765814725.8787827,2025-12-15 16:05:25,SHIP500-B00-T00005,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.464967,False,1
1,1765814738.0639966,2025-12-15 16:05:38,SHIP500-B00-T00006,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.471665,False,0
1,1765814750.260464,2025-12-15 16:05:50,SHIP500-B00-T00007,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.482468,False,0
1,1765814762.4481466,2025-12-15 16:06:02,SHIP500-B00-T00008,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.46386,False,0
1,1765814774.6141813,2025-12-15 16:06:14,SHIP500-B00-T00009,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.464967,False,1
1,1765814774.6141813,2025-12-15 16:06:14,SHIP500-B00-T00009,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.464967,False,1
1,1765814774.6141813,2025-12-15 16:06:14,SHIP500-B00-T00009,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.464967,False,1
1,1765814786.8256238,2025-12-15 16:06:26,SHIP500-B00-T00010,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.467468,False,1
1,1765814786.8256238,2025-12-15 16:06:26,SHIP500-B00-T00010,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.467468,False,1
1,1765814786.8256238,2025-12-15 16:06:26,SHIP500-B00-T00010,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.467468,False,1
1,1765814799.067355,2025-12-15 16:06:39,SHIP500-B00-T00011,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.474202,False,0
1,1765814811.249821,2025-12-15 16:06:51,SHIP500-B00-T00012,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.469702,False,0
1,1765814823.436515,2025-12-15 16:07:03,SHIP500-B00-T00013,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.461104,False,0
1,1765814835.610237,2025-12-15 16:07:15,SHIP500-B00-T00014,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.44917,False,1
1,1765814835.610237,2025-12-15 16:07:15,SHIP500-B00-T00014,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.44917,False,1
1,1765814835.610237,2025-12-15 16:07:15,SHIP500-B00-T00014,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.44917,False,1
1,1765814847.8176098,2025-12-15 16:07:27,SHIP500-B00-T00015,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.447834,False,0
1,1765814860.032745,2025-12-15 16:07:40,SHIP500-B00-T00016,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.445704,False,1
1,1765814860.032745,2025-12-15 16:07:40,SHIP500-B00-T00016,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.445704,False,1
1,1765814860.032745,2025-12-15 16:07:40,SHIP500-B00-T00016,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.445704,False,1
1,1765814872.2410038,2025-12-15 16:07:52,SHIP500-B00-T00017,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.454556,False,0
1,1765814884.3965917,2025-12-15 16:08:04,SHIP500-B00-T00018,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.453204,False,0
1,1765814896.567138,2025-12-15 16:08:16,SHIP500-B00-T00019,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.450511,False,0
1,1765814908.7910955,2025-12-15 16:08:28,SHIP500-B00-T00020,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.445173,False,0
1,1765814920.9699333,2025-12-15 16:08:40,SHIP500-B00-T00021,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.451317,False,0
1,1765814933.195624,2025-12-15 16:08:53,SHIP500-B00-T00022,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.444908,False,0
1,1765814945.398774,2025-12-15 16:09:05,SHIP500-B00-T00023,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.453474,False,1
1,1765814945.398774,2025-12-15 16:09:05,SHIP500-B00-T00023,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.453474,False,1
1,1765814945.398774,2025-12-15 16:09:05,SHIP500-B00-T00023,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.453474,False,1
1,1765814957.5848875,2025-12-15 16:09:17,SHIP500-B00-T00024,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.46469,False,0
1,1765814969.7946844,2025-12-15 16:09:29,SHIP500-B00-T00025,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.470262,False,1
1,1765814969.7946844,2025-12-15 16:09:29,SHIP500-B00-T00025,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.470262,False,1
1,1765814969.7946844,2025-12-15 16:09:29,SHIP500-B00-T00025,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.470262,False,1
1,1765814981.9802337,2025-12-15 16:09:41,SHIP500-B00-T00026,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.475334,False,0
1,1765814994.1867418,2025-12-15 16:09:54,SHIP500-B00-T00027,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.484197,False,0
1,1765815006.4307437,2025-12-15 16:10:06,SHIP500-B00-T00028,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.453474,False,0
1,1765815018.6098638,2025-12-15 16:10:18,SHIP500-B00-T00029,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.457273,False,0
1,1765815030.8140547,2025-12-15 16:10:30,SHIP500-B00-T00030,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.447567,False,1
1,1765815030.8140547,2025-12-15 16:10:30,SHIP500-B00-T00030,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.447567,False,1
1,1765815030.8140547,2025-12-15 16:10:30,SHIP500-B00-T00030,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.447567,False,1
1,1765815043.023641,2025-12-15 16:10:43,SHIP500-B00-T00031,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.461379,False,1
1,1765815043.023641,2025-12-15 16:10:43,SHIP500-B00-T00031,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.461379,False,1
1,1765815043.023641,2025-12-15 16:10:43,SHIP500-B00-T00031,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.461379,False,1
1,1765815055.231195,2025-12-15 16:10:55,SHIP500-B00-T00032,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.474485,False,1
1,1765815055.231195,2025-12-15 16:10:55,SHIP500-B00-T00032,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.474485,False,1
1,1765815055.231195,2025-12-15 16:10:55,SHIP500-B00-T00032,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.474485,False,1
1,1765815067.4286995,2025-12-15 16:11:07,SHIP500-B00-T00033,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.440423,False,1
1,1765815067.4286995,2025-12-15 16:11:07,SHIP500-B00-T00033,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.440423,False,1
1,1765815067.4286995,2025-12-15 16:11:07,SHIP500-B00-T00033,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.440423,False,1
1,1765815079.618633,2025-12-15 16:11:19,SHIP500-B00-T00034,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.43859,False,0
1,1765815091.779157,2025-12-15 16:11:31,SHIP500-B00-T00035,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.421925,False,0
1,1765815104.0328188,2025-12-15 16:11:44,SHIP500-B00-T00036,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.426476,False,1
1,1765815104.0328188,2025-12-15 16:11:44,SHIP500-B00-T00036,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.426476,False,1
1,1765815104.0328188,2025-12-15 16:11:44,SHIP500-B00-T00036,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.426476,False,1
1,1765815116.2369251,2025-12-15 16:11:56,SHIP500-B00-T00037,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.429536,False,0
1,1765815128.4500794,2025-12-15 16:12:08,SHIP500-B00-T00038,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.424953,False,1
1,1765815128.4500794,2025-12-15 16:12:08,SHIP500-B00-T00038,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.424953,False,1
1,1765815128.4500794,2025-12-15 16:12:08,SHIP500-B00-T00038,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.424953,False,1
1,1765815140.6769688,2025-12-15 16:12:20,SHIP500-B00-T00039,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.426984,False,0
1,1765815152.870689,2025-12-15 16:12:32,SHIP500-B00-T00040,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.417423,False,1
1,1765815152.870689,2025-12-15 16:12:32,SHIP500-B00-T00040,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.417423,False,1
1,1765815152.870689,2025-12-15 16:12:32,SHIP500-B00-T00040,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.417423,False,1
1,1765815165.086023,2025-12-15 16:12:45,SHIP500-B00-T00041,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.412724,False,0
1,1765815177.283877,2025-12-15 16:12:57,SHIP500-B00-T00042,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.409783,False,0
1,1765815189.4871106,2025-12-15 16:13:09,SHIP500-B00-T00043,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.414449,False,1
1,1765815189.4871106,2025-12-15 16:13:09,SHIP500-B00-T00043,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.414449,False,1
1,1765815189.4871106,2025-12-15 16:13:09,SHIP500-B00-T00043,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.414449,False,1
1,1765815201.684195,2025-12-15 16:13:21,SHIP500-B00-T00044,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.417423,False,1
1,1765815201.684195,2025-12-15 16:13:21,SHIP500-B00-T00044,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.417423,False,1
1,1765815201.684195,2025-12-15 16:13:21,SHIP500-B00-T00044,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.417423,False,1
1,1765815213.873436,2025-12-15 16:13:33,SHIP500-B00-T00045,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.413216,False,1
1,1765815213.873436,2025-12-15 16:13:33,SHIP500-B00-T00045,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.413216,False,1
1,1765815213.873436,2025-12-15 16:13:33,SHIP500-B00-T00045,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.413216,False,1
1,1765815226.069084,2025-12-15 16:13:46,SHIP500-B00-T00046,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.406863,False,1
1,1765815226.069084,2025-12-15 16:13:46,SHIP500-B00-T00046,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.406863,False,1
1,1765815226.069084,2025-12-15 16:13:46,SHIP500-B00-T00046,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.406863,False,1
1,1765815238.272433,2025-12-15 16:13:58,SHIP500-B00-T00047,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.406378,False,0
1,1765815250.482101,2025-12-15 16:14:10,SHIP500-B00-T00048,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.405894,False,1
1,1765815250.482101,2025-12-15 16:14:10,SHIP500-B00-T00048,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.405894,False,1
1,1765815250.482101,2025-12-15 16:14:10,SHIP500-B00-T00048,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.405894,False,1
1,1765815262.677696,2025-12-15 16:14:22,SHIP500-B00-T00049,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.399653,False,0
1,1765815274.8533645,2025-12-15 16:14:34,SHIP500-B00-T00050,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.404445,False,0
1,1765815287.1137848,2025-12-15 16:14:47,SHIP500-B00-T00051,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.395861,False,0
1,1765815299.3172812,2025-12-15 16:14:59,SHIP500-B00-T00052,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.393978,False,1
1,1765815299.3172812,2025-12-15 16:14:59,SHIP500-B00-T00052,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.393978,False,1
1,1765815299.3172812,2025-12-15 16:14:59,SHIP500-B00-T00052,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.393978,False,1
1,1765815311.5108411,2025-12-15 16:15:11,SHIP500-B00-T00053,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.397042,False,0
1,1765815323.6917984,2025-12-15 16:15:23,SHIP500-B00-T00054,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.399415,False,0
1,1765815335.9102752,2025-12-15 16:15:35,SHIP500-B00-T00055,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.406378,False,1
1,1765815335.9102752,2025-12-15 16:15:35,SHIP500-B00-T00055,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.406378,False,1
1,1765815335.9102752,2025-12-15 16:15:35,SHIP500-B00-T00055,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.406378,False,1
1,1765815348.122564,2025-12-15 16:15:48,SHIP500-B00-T00056,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.402522,False,0
1,1765815360.3237524,2025-12-15 16:16:00,SHIP500-B00-T00057,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.403482,False,0
1,1765815372.527818,2025-12-15 16:16:12,SHIP500-B00-T00058,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.41643,False,0
1,1765815384.7148552,2025-12-15 16:16:24,SHIP500-B00-T00059,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.410516,False,0
1,1765815396.9338837,2025-12-15 16:16:36,SHIP500-B00-T00060,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.415934,False,0
1,1765815409.126479,2025-12-15 16:16:49,SHIP500-B00-T00061,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.411496,False,0
1,1765815421.3335476,2025-12-15 16:17:01,SHIP500-B00-T00062,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.414202,False,1
1,1765815421.3335476,2025-12-15 16:17:01,SHIP500-B00-T00062,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.414202,False,1
1,1765815421.3335476,2025-12-15 16:17:01,SHIP500-B00-T00062,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.414202,False,1
1,1765815433.5488594,2025-12-15 16:17:13,SHIP500-B00-T00063,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.429536,False,0
1,1765815445.773719,2025-12-15 16:17:25,SHIP500-B00-T00064,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.420419,False,1
1,1765815445.773719,2025-12-15 16:17:25,SHIP500-B00-T00064,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.420419,False,1
1,1765815445.773719,2025-12-15 16:17:25,SHIP500-B00-T00064,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.420419,False,1
1,1765815457.9771547,2025-12-15 16:17:37,SHIP500-B00-T00065,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.416926,False,0
1,1765815470.181821,2025-12-15 16:17:50,SHIP500-B00-T00066,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.421925,False,0
1,1765815482.400705,2025-12-15 16:18:02,SHIP500-B00-T00067,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.422932,False,1
1,1765815482.400705,2025-12-15 16:18:02,SHIP500-B00-T00067,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.422932,False,1
1,1765815482.400705,2025-12-15 16:18:02,SHIP500-B00-T00067,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.422932,False,1
1,1765815494.60301,2025-12-15 16:18:14,SHIP500-B00-T00068,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.423184,False,1
1,1765815494.60301,2025-12-15 16:18:14,SHIP500-B00-T00068,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.423184,False,1
1,1765815494.60301,2025-12-15 16:18:14,SHIP500-B00-T00068,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.423184,False,1
1,1765815506.8224964,2025-12-15 16:18:26,SHIP500-B00-T00069,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.425207,False,0
1,1765815519.0276744,2025-12-15 16:18:39,SHIP500-B00-T00070,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.424953,False,0
1,1765815531.2639945,2025-12-15 16:18:51,SHIP500-B00-T00071,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.430562,False,0
1,1765815543.4745786,2025-12-15 16:19:03,SHIP500-B00-T00072,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.430305,False,0
1,1765815555.6707923,2025-12-15 16:19:15,SHIP500-B00-T00073,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.433135,False,1
1,1765815555.6707923,2025-12-15 16:19:15,SHIP500-B00-T00073,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.433135,False,1
1,1765815555.6707923,2025-12-15 16:19:15,SHIP500-B00-T00073,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.433135,False,1
1,1765815567.8928945,2025-12-15 16:19:27,SHIP500-B00-T00074,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.437546,False,0
1,1765815580.0983405,2025-12-15 16:19:40,SHIP500-B00-T00075,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.442001,False,1
1,1765815580.0983405,2025-12-15 16:19:40,SHIP500-B00-T00075,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.442001,False,1
1,1765815580.0983405,2025-12-15 16:19:40,SHIP500-B00-T00075,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.442001,False,1
1,1765815592.2900088,2025-12-15 16:19:52,SHIP500-B00-T00076,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.443056,False,0
1,1765815604.5066512,2025-12-15 16:20:04,SHIP500-B00-T00077,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.468584,False,0
1,1765815616.70966,2025-12-15 16:20:16,SHIP500-B00-T00078,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.439899,False,0
1,1765815628.9149268,2025-12-15 16:20:28,SHIP500-B00-T00079,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.431332,False,0
1,1765815641.1225257,2025-12-15 16:20:41,SHIP500-B00-T00080,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.439375,False,1
1,1765815641.1225257,2025-12-15 16:20:41,SHIP500-B00-T00080,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.439375,False,1
1,1765815641.1225257,2025-12-15 16:20:41,SHIP500-B00-T00080,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.439375,False,1
1,1765815653.3281643,2025-12-15 16:20:53,SHIP500-B00-T00081,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.439899,False,0
1,1765815665.5580332,2025-12-15 16:21:05,SHIP500-B00-T00082,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.445173,False,1
1,1765815665.5580332,2025-12-15 16:21:05,SHIP500-B00-T00082,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.445173,False,1
1,1765815665.5580332,2025-12-15 16:21:05,SHIP500-B00-T00082,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.445173,False,1
1,1765815677.7554846,2025-12-15 16:21:17,SHIP500-B00-T00083,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.431589,False,1
1,1765815677.7554846,2025-12-15 16:21:17,SHIP500-B00-T00083,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.431589,False,1
1,1765815677.7554846,2025-12-15 16:21:17,SHIP500-B00-T00083,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.431589,False,1
1,1765815689.958026,2025-12-15 16:21:29,SHIP500-B00-T00084,F06,maintenance,SK-DIAG-F06,发电机综合故障诊断,0.4545,0.419918,False,0
1,1765815702.1632955,2025-12-15 16:21:42,SHIP500-B00-T00085,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.418919,False,1
1,1765815702.1632955,2025-12-15 16:21:42,SHIP500-B00-T00085,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.418919,False,1
1,1765815702.1632955,2025-12-15 16:21:42,SHIP500-B00-T00085,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.418919,False,1
1,1765815714.363002,2025-12-15 16:21:54,SHIP500-B00-T00086,F06,crew,SK-DIAG-F06,发电机综合故障诊断,0.5455,0.413709,False,1
1,1765815714.363002,2025-12-15 16:21:54,SHIP500-B00-T00086,F11,crew,SK-DIAG-F11,通讯与传感器故障诊断,0.5455,0.413709,False,1
1,1765815714.363002,2025-12-15 16:21:54,SHIP500-B00-T00086,*,crew,SK-ACT-CREW-OPS,机舱巡查与就地处置技能,0.5455,0.413709,False,1
