skill_id,iteration,n,tp,precision,coverage,n_true_events
SK-ACT-CAPTAIN-CMD,1,19,19,1.0,0.02062975027144408,921
SK-ACT-CREW-OPS,1,902,902,1.0,0.9793702497285559,921
SK-DIAG-F06,1,2116,921,0.43525519848771266,1.0,921
SK-DIAG-F10,1,23,21,0.9130434782608695,1.0,21
SK-DIAG-F11,1,902,902,1.0,1.0,902
SK-ACT-CAPTAIN-CMD,2,44,44,1.0,0.41904761904761906,105
SK-ACT-CREW-OPS,2,61,61,1.0,0.580952380952381,105
SK-DIAG-F02,2,196,29,0.14795918367346939,1.0,29
SK-DIAG-F06,2,105,105,1.0,1.0,105
SK-DIAG-F10,2,112,61,0.5446428571428571,1.0,61
SK-DIAG-F11,2,88,88,1.0,1.0,88
SK-DIAG-F12,2,76,15,0.19736842105263158,1.0,15
SK-ACT-CAPTAIN-CMD,3,20,20,1.0,0.08438818565400844,237
SK-ACT-CREW-OPS,3,217,217,1.0,0.9156118143459916,237
SK-DIAG-F06,3,237,237,1.0,1.0,237
SK-DIAG-F11,3,237,237,1.0,1.0,237
SK-DIAG-F12,3,41,20,0.4878048780487805,1.0,20
