alarm_tag,fault_class,active_rate,precision,recall,f1,d_precision,d_recall,d_f1,test_positives,fault_class_lost,importance_rank
engine/alarm_main_engine_1_ecu_communication_timeout,F11,0.3776,0.0,0.0,0.0,-0.27282976324689967,-1.0,-0.4286979627989371,0,,24
engine/alarm_main_engine_2_main_bearing_temperature_monitoring_module_communication_timeout,F11,0.5404,0.0,0.0,0.0,-0.27282976324689967,-1.0,-0.4286979627989371,0,,23
engine/alarm_bottle_outlet_pipe_low_pressure,F00,0.5151,0.03945885005636979,1.0,0.07592190889370933,-0.23337091319052988,0.0,-0.3527760539052278,35,,22
engine/alarm_generator_1_comprehensive_alarm,F06,0.8364,0.046223224351747465,1.0,0.08836206896551724,-0.2266065388951522,0.0,-0.3403358938334199,41,,21
engine/alarm_main_engine_1_main_bearing_temperature_monitoring_module_communication_timeout,F11,0.4152,0.046223224351747465,1.0,0.08836206896551724,-0.2266065388951522,0.0,-0.3403358938334199,41,,20
engine/alarm_engine_room_a_high_level,F00,0.1237,0.046223224351747465,1.0,0.08836206896551724,-0.2266065388951522,0.0,-0.3403358938334199,41,,19
engine/alarm_generator_2_comprehensive_alarm,F06,0.1249,0.2266065388951522,1.0,0.3694852941176471,-0.04622322435174747,0.0,-0.05921266868129005,201,,18
engine/alarm_main_engine_1_post_fuel_pressure_sensor_fault,F11,0.0323,0.2266065388951522,1.0,0.3694852941176471,-0.04622322435174747,0.0,-0.05921266868129005,201,,17
engine/alarm_main_engine_2_post_fuel_pressure_sensor_fault,F11,0.0329,0.2266065388951522,1.0,0.3694852941176471,-0.04622322435174747,0.0,-0.05921266868129005,201,,16
engine/alarm_fire_alarm_controller_fire,F12,0.1043,0.23337091319052988,1.0,0.37842778793418647,-0.03945885005636979,0.0,-0.05027017486475066,207,F12,15
engine/alarm_grey_water_tank_high_level,F00,0.0052,0.27282976324689967,1.0,0.4286979627989371,0.0,0.0,0.0,242,,14
engine/alarm_embedded_host_telegraph_power_failure,F11,0.3295,0.27282976324689967,1.0,0.4286979627989371,0.0,0.0,0.0,242,,13
engine/alarm_main_engine_1_lube_oil_filter_pressure_high,F02,0.075,0.27282976324689967,1.0,0.4286979627989371,0.0,0.0,0.0,242,F02,12
engine/alarm_main_engine_1_secondary_comprehensive_alarm,F00,0.075,0.27282976324689967,1.0,0.4286979627989371,0.0,0.0,0.0,242,,11
engine/alarm_cylinder_exhaust_temperature_high_2,F10,0.0211,0.27282976324689967,1.0,0.4286979627989371,0.0,0.0,0.0,242,,10
engine/alarm_main_engine_1_comprehensive_fault,F00,0.075,0.27282976324689967,1.0,0.4286979627989371,0.0,0.0,0.0,242,,9
engine/alarm_main_engine_2_cylinder_exhaust_temperature_high_a10,F10,0.0034,0.27282976324689967,1.0,0.4286979627989371,0.0,0.0,0.0,242,,8
engine/alarm_main_engine_2_comprehensive_fault,F00,0.0214,0.27282976324689967,1.0,0.4286979627989371,0.0,0.0,0.0,242,,7
engine/alarm_main_engine_2_cylinder_exhaust_temperature_high_a7,F10,0.0031,0.27282976324689967,1.0,0.4286979627989371,0.0,0.0,0.0,242,,6
engine/alarm_main_engine_2_cylinder_exhaust_temperature_high_a8,F10,0.0033,0.27282976324689967,1.0,0.4286979627989371,0.0,0.0,0.0,242,,5
engine/alarm_main_engine_2_cylinder_exhaust_temperature_high_b4,F10,0.0033,0.27282976324689967,1.0,0.4286979627989371,0.0,0.0,0.0,242,,4
engine/alarm_main_engine_2_cylinder_exhaust_temperature_high_b1,F10,0.0206,0.27282976324689967,1.0,0.4286979627989371,0.0,0.0,0.0,242,,3
engine/alarm_main_engine_2_cylinder_exhaust_temperature_high_b6,F10,0.0031,0.27282976324689967,1.0,0.4286979627989371,0.0,0.0,0.0,242,,2
engine/alarm_main_engine_2_secondary_comprehensive_alarm,F00,0.0214,0.27282976324689967,1.0,0.4286979627989371,0.0,0.0,0.0,242,,1
