alarm_tag,fault_class,mode,precision,recall,f1,d_precision,d_recall,d_f1,test_positives
engine/alarm_bottle_outlet_pipe_low_pressure,F00,shift+12.5s,0.2717023675310034,1.0,0.42730496453900707,-0.0011273957158962622,0.0,-0.001392998259930056,241
engine/alarm_bottle_outlet_pipe_low_pressure,F00,flip10%,0.2615558060879369,1.0,0.41465594280607687,-0.011273957158962788,0.0,-0.014042019992860255,232
engine/alarm_cylinder_exhaust_temperature_high_2,F10,shift+12.5s,0.27282976324689967,1.0,0.4286979627989371,0.0,0.0,0.0,242
engine/alarm_cylinder_exhaust_temperature_high_2,F10,flip10%,0.02705749718151071,1.0,0.052689352360043906,-0.24577226606538896,0.0,-0.3760086104388932,24
engine/alarm_embedded_host_telegraph_power_failure,F11,shift+12.5s,0.27282976324689967,1.0,0.4286979627989371,0.0,0.0,0.0,242
engine/alarm_embedded_host_telegraph_power_failure,F11,flip10%,0.31228861330326946,1.0,0.47594501718213056,0.03945885005636979,0.0,0.04724705438319343,277
engine/alarm_engine_room_a_high_level,F00,shift+12.5s,0.27395715896279593,1.0,0.4300884955752212,0.0011273957158962622,0.0,0.0013905327762840924,243
engine/alarm_engine_room_a_high_level,F00,flip10%,0.007891770011273957,1.0,0.015659955257270694,-0.2649379932356257,0.0,-0.4130380075416664,7
engine/alarm_fire_alarm_controller_fire,F12,shift+12.5s,0.27282976324689967,1.0,0.4286979627989371,0.0,0.0,0.0,242
engine/alarm_fire_alarm_controller_fire,F12,flip10%,0.02142051860202931,1.0,0.04194260485651214,-0.25140924464487036,0.0,-0.386755357942425,19
engine/alarm_generator_1_comprehensive_alarm,F06,shift+12.5s,0.27282976324689967,1.0,0.4286979627989371,0.0,0.0,0.0,242
engine/alarm_generator_1_comprehensive_alarm,F06,flip10%,0.2717023675310034,1.0,0.42730496453900707,-0.0011273957158962622,0.0,-0.001392998259930056,241
engine/alarm_generator_2_comprehensive_alarm,F06,shift+12.5s,0.27282976324689967,1.0,0.4286979627989371,0.0,0.0,0.0,242
engine/alarm_generator_2_comprehensive_alarm,F06,flip10%,0.02593010146561443,1.0,0.05054945054945055,-0.24689966178128525,0.0,-0.3781485122494866,23
