sample_name,timestamp,time_iso,split,block,thread1_alarm,thread2_fault,fault_class_primary,thread3_agent,thread4_skill,skill_names,trigger_words,severity_score,rcf_score
SHIP500-B00-T00000,1765814664.6674626,2025-12-15 16:04:24,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.4559
SHIP500-B00-T00001,1765814676.9318302,2025-12-15 16:04:36,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4546
SHIP500-B00-T00002,1765814689.2116537,2025-12-15 16:04:49,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.457
SHIP500-B00-T00003,1765814701.4614964,2025-12-15 16:05:01,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4554
SHIP500-B00-T00004,1765814713.6704717,2025-12-15 16:05:13,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.4636
SHIP500-B00-T00005,1765814725.8787827,2025-12-15 16:05:25,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.465
SHIP500-B00-T00006,1765814738.0639966,2025-12-15 16:05:38,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4717
SHIP500-B00-T00007,1765814750.260464,2025-12-15 16:05:50,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4825
SHIP500-B00-T00008,1765814762.4481466,2025-12-15 16:06:02,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4639
SHIP500-B00-T00009,1765814774.6141813,2025-12-15 16:06:14,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.465
SHIP500-B00-T00010,1765814786.8256238,2025-12-15 16:06:26,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.4675
SHIP500-B00-T00011,1765814799.067355,2025-12-15 16:06:39,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4742
SHIP500-B00-T00012,1765814811.249821,2025-12-15 16:06:51,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4697
SHIP500-B00-T00013,1765814823.436515,2025-12-15 16:07:03,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4611
SHIP500-B00-T00014,1765814835.610237,2025-12-15 16:07:15,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.4492
SHIP500-B00-T00015,1765814847.8176098,2025-12-15 16:07:27,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4478
